Number,Repeat,latitude,longitude,WordCount,English,Common,Tagalog,Bikol,Cebuano,Hiligaynon,Ilocano,Kapampangan,Pangasinense,Waray,Zam,Spanish,3,4,5
147401,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
204814,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
205457,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
1474011,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
2048141,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
2054571,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Kapampangan,Kapampangan,Kapampangan
147401,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
204814,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
205457,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
1474011,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
2048141,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
2054571,TRUE,10.1046193,123.6486163,11,0,0,0,0,0,0,4,5,0,0,0,0,Ilocano,Ilocano,
146474,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
146520,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
147624,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
147674,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
147712,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
204221,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
205699,TRUE,10.1331549,124.8451148,16,1,9,3,0,0,0,0,0,0,0,0,1,Tagalog,,
86494,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
86876,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
87050,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
147465,TRUE,10.1406832,123.6482371,8,3,1,0,0,3,0,0,0,0,0,0,0,Cebuano,,
